,Owner,BuildingsOwned,TotalSquareFootage,TotalGHGEmissions__metric_tons_,TotalElectricity_kBtu_,TotalSteamUse_kBtu,TotalNaturalGas_kBtu,TotalOtherFuelUse_kBtu,AverageGHGEmissionsIntensity,AverageSiteEUI_kBtu_sf,AverageSourceEUI_kBtu_sf,AverageENERGYSTARScore
0,CITY OF SEATTLE,175,17038324,16357,501287744,6826192,247129120,0,1.1726744186046512,49.97017543859649,108.37660818713451,72.74789915966386
1,UNIVERSITY OF WASHINGTON,43,18445870,39712,679730875,366595771,106707401,0,4.7560975609756095,147.265,321.9325,61.81818181818182
2,STATE OF WASHINGTON,17,2768746,3614,88426130,0,59208493,0,2.1125,71.1625,134.625,55.375
3,KING COUNTY,16,4355059,22535,255701627,16515088,372904431,0,1.75,66.94375,137.29375,68.08333333333333
4,OVERLOOK MAGNOLIA APARTMENTS LLC,11,388815,52,9911319,0,0,0,0.1272727272727273,25.41818181818182,71.14545454545454,74.54545454545455
5,CATHOLIC ARCHDIOCESE OF SEATTLE,11,625312,446,10085358,839547,6078878,0,1.2454545454545454,56.02,117.25,71.66666666666667
6,CSHV NWCP SEATTLE LLC,10,607134,357,6497555,0,6082306,0,0.42000000000000004,17.94,38.35,64.1
7,QWEST CORPORATION,10,932134,877,22242960,0,14302433,0,1.05,50.5,108.92222222222222,57.857142857142854
8,PUBLIC STORAGE,10,1302736,112,6498748,0,1473800,0,0.15714285714285717,10.214285714285714,24.642857142857142,
9,SELIG HOLDINGS COMPANY LLC,9,1688556,675,92368368,0,3469057,0,0.5,56.63333333333333,151.95555555555555,76.77777777777777
10,ACORN DEVELOPMENT LLC,9,5109919,1595,141486254,0,15879116,0,0.17777777777777778,40.36666666666667,104.89999999999999,92.0
11,BREIER SCHEETZ PROPERTIES LLC,7,377558,397,5180390,0,6957891,0,1.2285714285714284,36.07142857142857,61.01428571428572,94.14285714285714
12,UNIVERSITY VILLAGE LIMITED PS,6,334176,1093,23150552,0,18265161,0,3.233333333333333,145.63333333333333,295.9166666666667,37.5
13,SREH 2014 LLC,6,913933,208,39136592,0,0,0,0.2333333333333333,40.63333333333333,113.78333333333335,78.6
14,SEATTLE UNIVERSITY,6,2624288,3019,49391827,0,51904014,0,0.5333333333333333,27.880000000000003,57.980000000000004,93.0
17,SEATTLE PACIFIC UNIVERSITY,5,753801,2150,21990177,0,38279666,0,1.5,48.56,90.82000000000001,94.0
18,CENTRAL PUGET SOUND REGIONAL TRANSIT AUTHORITY,5,285461,448,10736925,0,7364830,0,2.7399999999999998,86.64,159.45999999999998,
16,HARSCH INVESTMENT PROPERTIES II LLC,5,195000,329,4781484,0,5730301,0,1.7,53.14,96.44,57.666666666666664
15,ORCAS BUSINESS PARK L.L.C,5,126948,119,3325589,0,1921329,0,0.9400000000000001,40.36,87.6,65.0
23,MERIDIAN ASSOCIATES APARTMENTS L L C,4,173434,26,5064937,0,0,0,0.17500000000000002,25.625,71.675,78.75
